,title,pred_class
54,U.S. President Trump to visit Britain in February: Daily Mail,1
55, You Won’t Believe The Insane Anti-Obama Bullsh*t This Idiot ACTUALLY Wrote To His Local Paper,0
56,"Trump tells Sisi U.S., Egypt will fight Islamist militants together",1
57, NAACP Members Arrested For Protesting Trump’s Racist Attorney General Pick (VIDEO),0
58, Watergate Reporter Says Trump’s Russia Scandal Is Way WORSE Than Watergate (DETAILS),0
59,Hungary eases pressure on international universities in Soros row,1
60,WOW! DID “Open Borders” Paul Ryan’s Top Advisor Leak Trump Tapes To Liberal Press…Is GOP Setting Up Ryan And Romney For Presidential Bid In 2020?,0
61,KARMA: GAY PASTOR SUES WHOLE FOODS For “Anti-Gay Slur” On Cake…Didn’t Count On Baker Being Gay [VIDEO],0
62,Trump says Britain would be better off outside EU,1
63, Second-Largest U.S. Paper Now Wants Readers To Decide If Trump’s Lies Are Lies (VIDEO),0
64, Governor Of Texas Unveils Detailed Plan To OVERTHROW The Federal Government,1
65,Details emerge of Republicans' plans to replace Obamacare,0
66,"EU's Tusk: no deadlock on Brexit, very cautious but optimistic",1
67,U.S. appeals court voids forfeiture of Iran-linked New York office tower,1
68,State Department memo shows unconstitutionality of Trump travel ban: ACLU,1
69,Pentagon says fourth U.S. soldier killed in Niger ambush,1
70,U.S. Homeland Security probes possible abuse in Twitter summons case,1
71," Trump’s Biggest, Most Pansy-A** Apologist Now Says He Is ‘Unacceptable’",0
72,Indonesia questions fireworks factory owner after deadly blaze,1
73,DAY 2 RESULTS Of Wisconsin Recount Are In…And Hillary’s Not Gonna Like It,0
74, The Russia Investigation’s Special Counsel Just Made Trump’s Problems A Whole Lot Worse,0
75,France and Qatar sign deals worth 12 billion euros: Macron,1
76,UK's May to visit China around Jan. 31: Sky News,1
77, WATCH: Giuliani Demands That Democrats Apologize For Trump’s Racist Birtherism,0
78,Russia's Medvedev says the world shouldn't be dominated by one currency,1
79,COLLEGE SOCIALIST GROUP Incites Children To Yell: “Kill Donald Trump!” [VIDEO],0
80," Trump Breaks ANOTHER Huge Campaign Promise, Stabs Followers In The Back Yet Again",0
81, Fox News Host Megyn Kelly Completely Embarrasses Traitorous Bundy Terrorist (VIDEO),0
82," For Bannon, The Losses Just Keep Coming",0
83, Ellen DeGeneres Refuses To Have Donald Trump On Her Show; Here’s Why (VIDEO),0
84, Man Who Said There Was No Recession DURING The Great Recession Is Rumored For Top Economic Post,0
85,"DINESH D’SOUZA: “Not Since Lincoln, Have The Democrats So Obstinately Refused To Accept The Result Of A Lawful Election” [VIDEO]",0
86,BLACK HARVARD STUDENTS Host Separate Segregated Graduation Ceremony,0
87,Top advisers in more displays of disagreement with Trump,1
88, Twitter Destroys Trump For Using Dwyane Wade’s Personal Tragedy To Pander For Black Votes,0
89, Trump BETRAYED: GOP Rep. DEFENDS Refugees Against His Muslim Ban,0
90,Arsonists attack building used by controversial Russian director,0
91,Sri Lanka arrests two over hacking of Taiwan bank accounts,1
92,"Swiss dismiss ETA activist's asylum bid, but she is free to stay",1
93,Mnangagwa will be sworn in as Zimbabwe president: ZANU-PF,1
94,Palestinians say they won't be blackmailed by U.S. move to close PLO office,1
95,Russia may seize U.S. property if its own compounds not returned: Kommersant,1
96,Trump unlikely to pick Cohn for Fed as he is crucial to tax reform drive: official,1
97,Macron touts European initiative to evacuate Africans trapped in Libya,1
98,U.S. civil liberties group to challenge Trump's new travel ban,1
99,Four killed as militants attack airport security camp in Indian-controlled Kashmir,1
